ai_enabled,car_dirpath,car_id,car_make,car_model,car_name,car_name_abbreviated,car_types,car_weight,categories,created,first_sale,forum_url,free_with_subscription,has_headlights,has_multiple_dry_tire_types,has_rain_capable_tire_types,hp,price,price_display,rain_enabled,retired,search_filters,site_url
TRUE,acuraarx06gtp,170,Acura,ARX-06 GTP,Acura ARX-06 GTP,AGTP,"gtp,lmdh,prototype,road",2447,sports_car,2023-05-11T13:20:13Z,2023-09-06T00:00:00Z,https://forums.iracing.com/categories/acura-arx-06-gtp,FALSE,TRUE,FALSE,TRUE,665,11.95,$11.95 ,TRUE,FALSE,"road,gtp,lmdh,prototype",
TRUE,acuransxevo22gt3,194,Acura,acuransxevo22gt3,Acura NSX GT3 EVO 22,NSXE22,"gt3,road,sports",2910,sports_car,2024-09-30T14:56:51Z,2024-12-10T00:00:00Z,https://forums.iracing.com/categories/acura-nsx-gt3-evo-22/,FALSE,TRUE,FALSE,TRUE,520,11.95,$11.95 ,TRUE,FALSE,"road,sports,gt3",
TRUE,stockcars2\arcachevy25,198,Chevrolet,ARCA Chevrolet SS,ARCA Chevrolet SS,ACSS25,"arca,chevy,nascar,oval",3450,oval,2025-01-16T10:26:29Z,2025-03-11T00:00:00Z,https://forums.iracing.com/categories/arca-chevrolet-ss-ford-mustang-and-toyota-camry,FALSE,FALSE,FALSE,FALSE,700,11.95,$11.95 ,FALSE,FALSE,"oval,nascar,arca,chevy",
TRUE,stockcars2\arcaford25,199,Ford,ARCA Ford Mustang,ARCA Ford Mustang,ARCAFM,"arca,ford,nascar,oval",3450,oval,2025-01-16T10:50:16Z,2025-03-11T00:00:00Z,https://forums.iracing.com/categories/arca-chevrolet-ss-ford-mustang-and-toyota-camry,FALSE,FALSE,FALSE,FALSE,700,11.95,$11.95 ,FALSE,FALSE,"oval,nascar,arca,ford",
TRUE,stockcars2\arcatoyota25,200,Toyota,ARCA Toyota Camry,ARCA Toyota Camry,ARCATC,"arca,nascar,oval,toyota",3450,oval,2025-01-16T11:02:46Z,2025-03-11T00:00:00Z,https://forums.iracing.com/categories/arca-chevrolet-ss-ford-mustang-and-toyota-camry,FALSE,FALSE,FALSE,FALSE,700,11.95,$11.95 ,FALSE,FALSE,"oval,nascar,arca,toyota",
TRUE,astonmartin\dbr9,64,Aston Martin,GT1,Aston Martin DBR9 GT1,AM1,"gt1,road,sportscar",2579,sports_car,2015-04-07T15:46:33Z,2015-06-08T00:00:00Z,https://forums.iracing.com/categories/gt1-aston-martin-corvette,FALSE,TRUE,FALSE,FALSE,600,11.95,$11.95 ,FALSE,FALSE,"road,sportscar,gt1",http://www.astonmartin.com/racing
TRUE,amvantagegt4,150,Aston Martin,Vantage GT4,Aston Martin Vantage GT4,AMV4,"aienabled,road,sportscar",3230,sports_car,2022-01-07T17:18:18Z,2022-03-08T00:00:00Z,https://forums.iracing.com/categories/gt4,FALSE,TRUE,FALSE,TRUE,450,11.95,$11.95 ,TRUE,FALSE,"road,sportscar,aienabled",
TRUE,audi90gto,76,Audi,90 GTO,Audi 90 GTO,A90,"gto,imsa,road,sportscar",2659,sports_car,2016-07-12T09:32:42Z,2016-09-09T00:00:00Z,https://forums.iracing.com/categories/kamel-gt-championship-%28audi-gt-nissan-zx%29,FALSE,FALSE,FALSE,FALSE,710,11.95,$11.95 ,FALSE,FALSE,"road,sportscar,gto,imsa",http://www.audi-motorsport.com/
TRUE,audir18,98,Audi,R18,Audi R18,AR18,"lmp1,prototype,road",1929,sports_car,2018-02-05T09:26:47Z,2018-03-05T00:00:00Z,https://forums.iracing.com/categories/audi-r18,FALSE,TRUE,FALSE,FALSE,503,11.95,$11.95 ,FALSE,FALSE,"road,prototype,lmp1",http://www.audi-motorsport.com/
TRUE,audir8lmsevo2gt3,176,Audi,Audi R8 LMS EVO II GT3,Audi R8 LMS EVO II GT3,AEVO2,"audi,gt,gt3,sportscar",2910,sports_car,2023-10-04T14:07:37Z,2023-12-06T00:00:00Z,https://forums.iracing.com/categories/audi-r8-lms-evo-ii-gt3,FALSE,TRUE,FALSE,TRUE,518,11.95,$11.95 ,TRUE,FALSE,"gt3,audi,gt,sportscar",
